,t,ml,mr,sl,sr,p,i,d
0,250438,35.56,44.44,361.00,411.00,1.75,0.00,0.00
1,250444,35.56,44.44,361.00,411.00,1.75,0.00,0.00
2,250450,35.56,44.44,361.00,411.00,1.75,0.00,0.00
3,250458,35.56,44.44,361.00,411.00,1.75,0.00,0.00
4,250465,35.64,44.36,362.00,411.00,1.75,0.00,0.00
5,250472,35.82,44.18,363.00,410.00,1.75,0.00,0.00
6,250478,36.18,43.82,361.00,404.00,1.75,0.00,0.00
7,250485,35.20,44.80,358.00,412.00,1.75,0.00,0.00
8,250492,35.73,44.27,348.00,396.00,1.75,0.00,0.00
9,250499,35.91,44.09,354.00,400.00,1.75,0.00,0.00
10,250506,35.64,44.36,348.00,397.00,1.75,0.00,0.00
11,250513,34.31,45.69,333.00,397.00,1.75,0.00,0.00
12,250520,34.93,45.07,343.00,400.00,1.75,0.00,0.00
13,250526,36.89,43.11,346.00,381.00,1.75,0.00,0.00
14,250533,37.16,42.84,349.00,381.00,1.75,0.00,0.00
15,250541,37.24,42.76,353.00,384.00,1.75,0.00,0.00
16,250548,38.84,41.16,374.00,387.00,1.75,0.00,0.00
17,250554,39.73,40.27,394.00,397.00,1.75,0.00,0.00
18,250561,41.24,38.76,413.00,399.00,1.75,0.00,0.00
19,250568,40.09,39.91,416.00,415.00,1.75,0.00,0.00
20,250574,38.93,41.07,429.00,441.00,1.75,0.00,0.00
21,250582,34.67,45.33,391.00,451.00,1.75,0.00,0.00
22,250589,31.64,48.36,352.00,446.00,1.75,0.00,0.00
23,250596,25.60,54.40,351.00,513.00,1.75,0.00,0.00
24,250603,23.11,56.89,346.00,536.00,1.75,0.00,0.00
25,250609,19.55,60.45,337.00,567.00,1.75,0.00,0.00
26,250616,16.89,63.11,351.00,611.00,1.75,0.00,0.00
27,250624,18.22,61.78,348.00,593.00,1.75,0.00,0.00
28,250631,12.62,67.38,347.00,655.00,1.75,0.00,0.00
29,250638,14.31,65.69,329.00,618.00,1.75,0.00,0.00
30,250645,11.29,68.71,323.00,646.00,1.75,0.00,0.00
31,250651,12.09,67.91,330.00,644.00,1.75,0.00,0.00
32,250658,13.51,66.49,340.00,638.00,1.75,0.00,0.00
33,250665,16.17,63.83,355.00,623.00,1.75,0.00,0.00
34,250673,19.73,60.27,377.00,605.00,1.75,0.00,0.00
35,250680,21.42,58.58,376.00,585.00,1.75,0.00,0.00
36,250686,19.38,60.62,375.00,607.00,1.75,0.00,0.00
37,250693,24.35,55.65,384.00,560.00,1.75,0.00,0.00
38,250700,29.42,50.58,376.00,495.00,1.75,0.00,0.00
39,250707,36.18,43.82,393.00,436.00,1.75,0.00,0.00
40,250714,35.64,44.36,364.00,413.00,1.75,0.00,0.00
41,250721,31.55,48.45,327.00,422.00,1.75,0.00,0.00
42,250728,30.58,49.42,297.00,403.00,1.75,0.00,0.00
43,250735,30.75,49.25,292.00,396.00,1.75,0.00,0.00
44,250742,30.75,49.25,257.00,361.00,1.75,0.00,0.00
45,250748,34.22,45.78,264.00,329.00,1.75,0.00,0.00
46,250756,40.00,40.00,292.00,292.00,1.75,0.00,0.00
47,250763,41.96,38.04,289.00,267.00,1.75,0.00,0.00
48,250770,44.53,35.47,291.00,240.00,1.75,0.00,0.00
49,250777,45.60,34.40,299.00,236.00,1.75,0.00,0.00
50,250783,43.38,36.62,315.00,277.00,1.75,0.00,0.00
51,250790,39.02,40.98,323.00,334.00,1.75,0.00,0.00
52,250798,39.38,40.62,345.00,352.00,1.75,0.00,0.00
53,250805,40.27,39.73,381.00,378.00,1.75,0.00,0.00
54,250811,33.87,46.13,389.00,458.00,1.75,0.00,0.00
55,250818,36.71,43.29,389.00,426.00,1.75,0.00,0.00
56,250825,42.22,37.78,369.00,344.00,1.75,0.00,0.00
57,250832,40.00,40.00,352.00,352.00,1.75,0.00,0.00
58,250839,40.44,39.56,335.00,330.00,1.75,0.00,0.00
59,250846,42.93,37.07,331.00,298.00,1.75,0.00,0.00
60,250853,42.49,37.51,331.00,303.00,1.75,0.00,0.00
61,250860,43.47,36.53,334.00,295.00,1.75,0.00,0.00
62,250867,47.38,32.62,362.00,279.00,1.75,0.00,0.00
63,250873,48.53,31.47,392.00,296.00,1.75,0.00,0.00
64,250881,50.85,29.15,420.00,298.00,1.75,0.00,0.00
65,250888,48.18,31.82,415.00,323.00,1.75,0.00,0.00
66,250895,46.05,33.95,408.00,340.00,1.75,0.00,0.00
67,250902,43.11,36.89,373.00,338.00,1.75,0.00,0.00
68,250909,39.20,40.80,334.00,343.00,1.75,0.00,0.00
69,250915,37.33,42.67,312.00,342.00,1.75,0.00,0.00
70,250923,36.36,43.64,297.00,338.00,1.75,0.00,0.00
71,250930,36.89,43.11,281.00,316.00,1.75,0.00,0.00
72,250937,36.89,43.11,282.00,317.00,1.75,0.00,0.00
73,250943,37.33,42.67,257.00,287.00,1.75,0.00,0.00
74,250950,39.11,40.89,267.00,277.00,1.75,0.00,0.00
75,250957,41.51,38.49,293.00,276.00,1.75,0.00,0.00
76,250964,44.27,35.73,323.00,275.00,1.75,0.00,0.00
77,250971,43.64,36.36,322.00,281.00,1.75,0.00,0.00
78,250978,42.22,37.78,328.00,303.00,1.75,0.00,0.00
79,250985,42.31,37.69,334.00,308.00,1.75,0.00,0.00
80,250992,44.98,35.02,344.00,288.00,1.75,0.00,0.00
81,250999,46.93,33.07,353.00,275.00,1.75,0.00,0.00
82,251006,48.53,31.47,357.00,261.00,1.75,0.00,0.00
83,251013,44.53,35.47,332.00,281.00,1.75,0.00,0.00
84,251020,42.40,37.60,322.00,295.00,1.75,0.00,0.00
85,251027,41.24,38.76,314.00,300.00,1.75,0.00,0.00
